Stadium,BOM_station_number,Year,Month,Day,Rainfall_amount
Adelaide Oval,23011,2005,10,10,0
Adelaide Oval,23011,2005,10,11,2.6
Adelaide Oval,23011,2005,10,12,0
Adelaide Oval,23011,2005,10,13,0
Adelaide Oval,23011,2005,10,14,0
Adelaide Oval,23011,2005,10,15,0
Adelaide Oval,23011,2005,10,16,0.4
Adelaide Oval,23011,2005,10,17,0
Adelaide Oval,23011,2005,10,18,0
Adelaide Oval,23011,2005,10,19,7.6
Adelaide Oval,23011,2005,10,20,14.6
Adelaide Oval,23011,2005,10,21,2.2
Adelaide Oval,23011,2005,10,22,0.4
Adelaide Oval,23011,2005,10,23,
Adelaide Oval,23011,2005,10,24,7.2
Adelaide Oval,23011,2005,10,25,0.8
Adelaide Oval,23011,2005,10,26,0.2
Adelaide Oval,23011,2005,10,27,0.4
Adelaide Oval,23011,2005,10,28,0
Adelaide Oval,23011,2005,10,29,
Adelaide Oval,23011,2005,10,30,6.6
Adelaide Oval,23011,2005,10,31,0
Adelaide Oval,23011,2005,11,1,0
Adelaide Oval,23011,2005,11,2,0
Adelaide Oval,23011,2005,11,3,9.4
Adelaide Oval,23011,2005,11,4,0
